source_event_id,event_name,market_prob_away_raw,market_prob_draw_raw,market_prob_home_raw,away_odds_mean,draw_odds_mean,home_odds_mean,event_start_ts_utc,target,overround,market_prob_home,market_prob_draw,market_prob_away,market_prob_mean,market_prob_std,feature_stub,pred_prob_class_1,edge,signal,pnl_unit,cum_pnl_unit
2223:423:Southend:Chesterfield,Southend vs Chesterfield,0.45454545454545453,0.30303030303030304,0.3448275862068966,2.2,3.3,2.9,2023-03-07 00:00:00+00:00,0,1.1024033437826541,0.3127962085308057,0.27488151658767773,0.41232227488151657,0.3127962085308057,0.07098465067507415,0.6906921241050119,0.25319890886089064,-0.05959729966991506,0,-0.0,-1.2778195488721806
2223:418:Gateshead:Halifax,Gateshead vs Halifax,0.30303030303030304,0.3225806451612903,0.47619047619047616,3.3,3.1,2.1,2023-03-07 00:00:00+00:00,0,1.1018014243820695,0.43219264892268694,0.29277566539923955,0.2750316856780735,0.43219264892268694,0.08607313990544813,0.6892601431980907,0.41834876548263683,-0.013843883440050109,0,-0.0,-1.2778195488721806
2223:420:Oldham:Woking,Oldham vs Woking,0.5,0.3125,0.2777777777777778,2.0,3.2,3.6,2023-03-07 00:00:00+00:00,1,1.0902777777777777,0.2547770700636943,0.2866242038216561,0.45859872611464975,0.2547770700636943,0.10964544657049136,0.6899761336515513,0.3472052090704912,0.09242813900679686,1,2.9249999999999994,1.6471804511278187
2223:421:Scunthorpe:Altrincham,Scunthorpe vs Altrincham,0.4166666666666667,0.3225806451612903,0.37037037037037035,2.4,3.1,2.7,2023-03-07 00:00:00+00:00,1,1.1096176821983275,0.3337819650067294,0.29071332436069985,0.3755047106325706,0.3337819650067294,0.042397473382976246,0.6902147971360382,0.35770309921269416,0.023921134205964756,1,1.9959677419354844,3.643148193063303
2223:425:Yeovil:Eastleigh,Yeovil vs Eastleigh,0.4,0.3225806451612903,0.37037037037037035,2.5,3.1,2.7,2023-03-07 00:00:00+00:00,1,1.0929510155316606,0.3388718845649322,0.295146480104941,0.36598163533012684,0.3388718845649322,0.03574089347306286,0.6911694510739856,0.30500096163125956,-0.033870922933672665,0,0.0,3.643148193063303
2223:424:Wealdstone:Maidstone,Wealdstone vs Maidstone,0.2631578947368421,0.30303030303030304,0.5235602094240838,3.8,3.3,1.91,2023-03-07 00:00:00+00:00,1,1.089748407191229,0.48044136239990803,0.27807363702540133,0.2414850005746906,0.48044136239990803,0.12870610413348588,0.6909307875894988,0.4880332276037993,0.007591865203891268,0,0.0,3.643148193063303
2223:417:Dorking:Barnet,Dorking vs Barnet,0.5235602094240838,0.23809523809523808,0.3448275862068966,1.91,4.2,2.9,2023-03-07 00:00:00+00:00,1,1.1064830337262186,0.3116429043160716,0.21518200536109705,0.4731750903228312,0.3116429043160716,0.1303570635034128,0.6890214797136038,0.1812095567111556,-0.130433347604916,0,0.0,3.643148193063303
2223:419:Maidenhead:Boreham Wood,Maidenhead vs Boreham Wood,0.4444444444444444,0.3125,0.3448275862068966,2.25,3.2,2.9,2023-03-07 00:00:00+00:00,0,1.101772030651341,0.3129754401217127,0.2836339926103021,0.4033905672679852,0.3129754401217127,0.06241988589742151,0.6894988066825776,0.24288860981169394,-0.07008683031001875,0,-0.0,3.643148193063303
2223:431:Notts County:Dorking,Notts County vs Dorking,0.058823529411764705,0.13333333333333333,0.8849557522123894,17.0,7.5,1.13,2023-03-11 00:00:00+00:00,1,1.0771126149574874,0.8216000257756871,0.12378773721687018,0.05461223700744273,0.8216000257756871,0.4242635792390777,0.6928400954653938,0.8871465898783621,0.06554656410267501,1,0.21713725490196079,3.860285447965264
2223:430:Wrexham:Southend,Wrexham vs Southend,0.17391304347826086,0.23809523809523808,0.6666666666666666,5.75,4.2,1.5,2023-03-11 00:00:00+00:00,1,1.0786749482401654,0.618042226487524,0.22072936660268716,0.1612284069097889,0.618042226487524,0.24835349087924505,0.692601431980907,0.7599468607626629,0.14190463427513889,1,0.6180124223602483,4.4782978703255125
2223:429:Woking:Maidenhead,Woking vs Maidenhead,0.2222222222222222,0.2631578947368421,0.625,4.5,3.8,1.6,2023-03-11 00:00:00+00:00,1,1.1103801169590644,0.5628703094140882,0.23699802501645817,0.20013166556945358,0.5628703094140882,0.19963767093397408,0.6921241050119332,0.628218346959319,0.06534803754523077,1,0.776608187134503,5.2549060574600155
2223:428:Torquay:Wealdstone,Torquay vs Wealdstone,0.36363636363636365,0.2857142857142857,0.45454545454545453,2.75,3.5,2.2,2023-03-11 00:00:00+00:00,0,1.103896103896104,0.4117647058823529,0.2588235294117647,0.32941176470588235,0.4117647058823529,0.07654596586644367,0.6918854415274464,0.38289179389948713,-0.02887291198286579,0,-0.0,5.2549060574600155
2223:427:Eastleigh:Oldham,Eastleigh vs Oldham,0.3225806451612903,0.2777777777777778,0.5128205128205129,3.1,3.6,1.95,2023-03-11 00:00:00+00:00,1,1.113178935759581,0.4606811145510836,0.24953560371517028,0.2897832817337461,0.4606811145510836,0.11210736787689171,0.6916467780429595,0.4828261206263319,0.022145006075248275,1,1.1706989247311825,6.425604982191198
